rank,difficulty,flat_x,flat_y,size,vol_min_xyz,vol_max_xyz
1,0.9887,35840,3072,1024,3215.0 4245.3 12844.5,3279.1 4599.7 13196.4
2,0.9861,24576,2048,1024,2952.1 4050.3 13164.7,3196.8 4297.9 13466.5
3,0.986,14336,3072,1024,3019.0 3978.2 12957.3,3260.3 4273.8 13300.7
4,0.9859,27648,1024,1024,3087.2 4843.0 13172.1,3266.8 5153.8 13515.6
5,0.9842,34816,4096,1024,3046.8 3935.9 12646.7,3257.2 4245.3 12986.4
6,0.981,25600,2048,1024,3179.5 4216.4 13074.9,3293.7 4577.4 13418.9
7,0.9799,34816,3072,1024,3012.7 4017.6 12921.2,3232.6 4327.9 13246.3
8,0.978,44032,3072,1024,2952.0 4110.8 13133.3,3192.8 4364.5 13426.4
9,0.9776,33792,3072,1024,2742.8 3925.7 12979.4,3059.1 4126.1 13261.8
10,0.9709,34816,2048,1024,3003.9 4126.1 13191.6,3215.0 4386.9 13504.2
11,0.9691,24576,3072,1024,2963.7 3937.8 12894.1,3209.5 4216.4 13222.0
12,0.9662,25600,3072,1024,3185.3 4123.6 12801.3,3316.2 4476.0 13164.7
13,0.9638,24576,4096,1024,2979.7 3808.8 12629.5,3224.4 4125.6 12962.9
14,0.9591,26624,2048,1024,3249.4 4475.8 12971.2,3298.1 4843.0 13343.2
15,0.9569,25600,4096,1024,3195.7 4017.7 12536.0,3315.2 4377.6 12894.1
16,0.9533,35840,2048,1024,3192.7 4327.9 13122.7,3269.1 4676.4 13471.7
17,0.9518,14336,4096,1024,3028.0 3856.2 12697.3,3254.3 4166.6 13045.3
18,0.9477,35840,7168,1024,3196.8 3886.4 11756.2,3283.3 4244.3 12105.9
19,0.9468,17408,1024,1024,3066.0 4918.4 13202.3,3274.3 5194.0 13523.4
20,0.9456,25600,6144,1024,3241.3 3787.2 11996.2,3305.5 4169.4 12366.7
21,0.9444,28672,7168,1024,2844.2 4474.4 11517.9,3130.9 4647.8 11808.6
22,0.9435,25600,7168,1024,3254.9 3688.7 11755.4,3363.0 4068.7 12109.5
23,0.9432,6144,2048,1024,3192.2 4812.8 13148.0,3324.1 5174.8 13527.9
24,0.9414,26624,7168,1024,3204.4 3979.1 11637.3,3333.4 4336.9 12001.1
25,0.9386,23552,2048,1024,2655.7 3998.0 13204.2,2978.0 4133.9 13472.5
26,0.9376,45056,3072,1024,3149.9 4318.2 13080.8,3246.5 4649.7 13415.4
27,0.9353,36864,16384,1024,3416.8 3778.9 9174.0,3601.7 4027.9 9470.0
28,0.9336,15360,3072,1024,3232.5 4164.5 12851.1,3338.1 4534.0 13236.6
29,0.9321,26624,3072,1024,3250.5 4371.6 12711.0,3326.1 4737.7 13077.7
30,0.9317,27648,7168,1024,3105.1 4247.1 11543.3,3256.8 4597.4 11905.4
31,0.9281,35840,4096,1024,3222.7 4150.3 12571.2,3301.6 4514.2 12932.6
32,0.9256,15360,2048,1024,3229.3 4282.7 13118.3,3322.9 4653.2 13498.7
33,0.9248,18432,10240,1024,3023.8 4282.2 10796.6,3360.7 4371.3 11117.9
34,0.9241,13312,3072,1024,2749.1 3907.2 13041.2,3043.2 4110.8 13345.0
35,0.9219,27648,6144,1024,3087.9 4344.1 11804.6,3262.2 4665.2 12161.7
36,0.9214,27648,18432,1024,3512.8 3777.1 8579.3,3808.3 4002.0 8876.8
37,0.9206,7168,2048,1024,2901.8 5052.4 13099.5,3221.1 5201.3 13392.9
38,0.9202,14336,2048,1024,3029.0 4096.9 13219.6,3245.1 4377.1 13552.8
39,0.9191,34816,5120,1024,3067.9 3817.7 12373.9,3265.4 4150.3 12719.7
40,0.9185,36864,7168,1024,3133.2 4161.0 11665.0,3228.8 4519.9 12018.6
41,0.9183,43008,3072,1024,2662.8 4035.5 13132.2,2989.1 4185.3 13432.0
42,0.9174,25600,5120,1024,3215.4 3908.4 12264.7,3323.2 4277.2 12636.8
43,0.9166,16384,3072,1024,3260.0 4425.4 12736.5,3342.5 4807.8 13131.2
44,0.9155,26624,4096,1024,3264.2 4277.2 12431.7,3323.5 4648.5 12807.5
45,0.9145,33792,4096,1024,2771.2 3806.0 12708.8,3070.0 4017.9 13005.6
46,0.9133,8192,16384,1024,3332.7 3976.1 9190.4,3622.5 4139.1 9483.6
47,0.9131,37888,10240,1024,2954.0 4207.1 10885.4,3277.4 4349.6 11177.3
48,0.913,36864,3072,1024,3165.5 4511.6 12765.8,3279.2 4868.9 13127.5
49,0.9123,35840,6144,1024,3214.0 3965.3 12013.4,3284.0 4341.4 12374.7
50,0.9106,41984,26624,1024,3699.1 3061.2 6482.8,4017.7 3183.1 6768.7
